Student ID,Course Name
58,MongoDB Aggregation Framework
58,Applications in Engineering Mechanics
58,Robotics 
58,MOS Transistors
58,Introduction to Power Electronics
58,Embedded Hardware and Operating Systems
58,Advanced Converter Control Techniques
59,Embedded Hardware and Operating Systems
59,Internet of Things
59,Network Security
59,"Cyberwar, Surveillance and Security"
59,Ethical Hacking
59,Access Controls
59,Security & Database Vulnerabilities
60,Cryptography 
60,Cloud Computing Concepts
60,Principles of Computing
60,Algorithms
60,Moralities of Everyday Life
61,MBA Essentials
61,Presentation skills: Effective Presentation Delivery
61,Introduction to Philosophy
61,Teaching and Assessing Clinical Skills
61,Health Concepts 
61,Grammar and Punctuation
61,Python Data Structures
61,Artificial Intelligence
61,Cryptography 
61,Algorithms
61,R Programming
62,Machine Learning
62,Introduction to Data Science in Python
62,Deep Learning in Python
62,Blockchain in Business
62,R Programming
62,Programming with MATLAB
62,The Data Scientist�s Toolbox
62,C++ For C Programmers
62,Python and Statistics for Financial Analysis
63,Matrix Algebra for Engineers
64,Introduction to Mathematical Thinking
64,Getting and Cleaning Data
64,Ruby on Rails
64,Introduction to Big Data
65,Become a Digital Marketer
65,Mastering Data Analysis in Excel
65,Blockchain in Business
65,Java Programming
65,Android App Development
65,Introduction to iOS App Development
66,"Tables, Data & Networking in iOS"
66,Introduction to Game Development
66,Java Programming: Solving Problems with Software
67,Mobile Applications for Android
67,Vector Calculus for Engineers
67,Regression Model
67,Differential Equations for Engineers
67,Statistical Inference
67,"Programming Foundations with JavaScript, HTML and CSS"
68,Responsive Web Design
68,Introduction to Web Development
68,Introduction to HTML5
68,Product Strategy
68,System Administration 
68,SRS Documents: Requirements and Diagrammatic Notation
68,Software Requirements Prioritization
69,Requirements Gathering for Secure Software Development
70,IT Infrastructure Services
70,MBA Essentials
70,SQL Server
70,Matrix Algebra for Engineers
70,Linear Regression for Business Statistics
70,database fundamentals
70,Database Management Essentials
70,MongoDB Aggregation Framework
70,Applications in Engineering Mechanics
70,Robotics 
70,MOS Transistors
71,Introduction to Power Electronics
71,Embedded Hardware and Operating Systems
71,Advanced Converter Control Techniques
71,Embedded Hardware and Operating Systems
71,Internet of Things
71,Network Security
71,"Cyberwar, Surveillance and Security"
72,Ethical Hacking
72,Access Controls
73,Security & Database Vulnerabilities
73,Cryptography 
73,Cloud Computing Concepts
73,Principles of Computing
73,Algorithms
74,Moralities of Everyday Life
74,MBA Essentials
74,Presentation skills: Effective Presentation Delivery
75,Introduction to Philosophy
75,Teaching and Assessing Clinical Skills
75,Health Concepts 
75,Grammar and Punctuation
75,Python Data Structures
75,Artificial Intelligence
75,Cryptography 
75,Algorithms
76,R Programming
76,Machine Learning
76,Introduction to Data Science in Python
76,Deep Learning in Python
76,Blockchain in Business
76,R Programming
76,Programming with MATLAB
76,The Data Scientist�s Toolbox
77,C++ For C Programmers
77,Python and Statistics for Financial Analysis
77,Matrix Algebra for Engineers
77,Introduction to Mathematical Thinking
77,Getting and Cleaning Data
77,Ruby on Rails
78,Introduction to Big Data
78,Become a Digital Marketer
78,Mastering Data Analysis in Excel
78,Blockchain in Business
78,Java Programming
78,Android App Development
79,Introduction to iOS App Development
79,"Tables, Data & Networking in iOS"
79,Introduction to Game Development
79,Java Programming: Solving Problems with Software
80,Mobile Applications for Android
81,Vector Calculus for Engineers
81,Regression Model
81,Differential Equations for Engineers
81,Statistical Inference
81,"Programming Foundations with JavaScript, HTML and CSS"
81,Responsive Web Design
82,Introduction to Web Development
82,Introduction to HTML5
82,Product Strategy
83,System Administration 
83,SRS Documents: Requirements and Diagrammatic Notation
83,Software Requirements Prioritization
83,Requirements Gathering for Secure Software Development
83,IT Infrastructure Services
84,MBA Essentials
84,SQL Server
84,Matrix Algebra for Engineers
84,Linear Regression for Business Statistics
84,database fundamentals
84,Database Management Essentials
84,MongoDB Aggregation Framework
84,Applications in Engineering Mechanics
84,Robotics 
84,MOS Transistors
85,Introduction to Power Electronics
86,Embedded Hardware and Operating Systems
86,Advanced Converter Control Techniques
86,Embedded Hardware and Operating Systems
87,Internet of Things
87,Network Security
88,"Cyberwar, Surveillance and Security"
88,Ethical Hacking
89,Access Controls
89,Security & Database Vulnerabilities
89,Cryptography 
89,Cloud Computing Concepts
89,Principles of Computing
89,Algorithms
89,Moralities of Everyday Life
90,MBA Essentials
90,Presentation skills: Effective Presentation Delivery
90,Introduction to Philosophy
90,Teaching and Assessing Clinical Skills
90,Health Concepts 
90,Grammar and Punctuation
90,Vector Calculus for Engineers
90,Regression Model
90,Differential Equations for Engineers
90,Statistical Inference
90,"Programming Foundations with JavaScript, HTML and CSS"
91,Responsive Web Design
91,Introduction to Web Development
91,Introduction to HTML5
91,Product Strategy
92,System Administration 
92,SRS Documents: Requirements and Diagrammatic Notation
92,Software Requirements Prioritization
92,Requirements Gathering for Secure Software Development
93,IT Infrastructure Services
93,MBA Essentials
93,SQL Server
93,Matrix Algebra for Engineers
93,Linear Regression for Business Statistics
93,database fundamentals
93,Database Management Essentials
93,MongoDB Aggregation Framework
94,Applications in Engineering Mechanics
94,Robotics 
94,MOS Transistors
94,Introduction to Power Electronics
95,Embedded Hardware and Operating Systems
95,Vector Calculus for Engineers
95,Regression Model
95,Differential Equations for Engineers
95,Statistical Inference
95,"Programming Foundations with JavaScript, HTML and CSS"
95,Responsive Web Design
95,Introduction to Web Development
95,Introduction to HTML5
95,Product Strategy
95,System Administration 
96,SRS Documents: Requirements and Diagrammatic Notation
96,Software Requirements Prioritization
96,Requirements Gathering for Secure Software Development
96,IT Infrastructure Services
96,MBA Essentials
96,SQL Server
96,Matrix Algebra for Engineers
96,Linear Regression for Business Statistics
96,database fundamentals
96,Database Management Essentials
96,MongoDB Aggregation Framework
97,Applications in Engineering Mechanics
97,Robotics 
97,MOS Transistors
97,Introduction to Power Electronics
97,Embedded Hardware and Operating Systems
98,Vector Calculus for Engineers
98,Regression Model
98,Differential Equations for Engineers
99,Statistical Inference
99,"Programming Foundations with JavaScript, HTML and CSS"
99,Responsive Web Design
99,Introduction to Web Development
99,Introduction to HTML5
99,Product Strategy
99,System Administration 
99,SRS Documents: Requirements and Diagrammatic Notation
99,Software Requirements Prioritization
99,Requirements Gathering for Secure Software Development
100,IT Infrastructure Services
100,MBA Essentials
100,SQL Server
101,Matrix Algebra for Engineers
101,Linear Regression for Business Statistics
101,database fundamentals
101,Database Management Essentials
101,MongoDB Aggregation Framework
101,Applications in Engineering Mechanics
101,Robotics 
101,MOS Transistors
101,Introduction to Power Electronics
101,Embedded Hardware and Operating Systems
102,Vector Calculus for Engineers
102,Regression Model
102,Differential Equations for Engineers
102,Statistical Inference
102,"Programming Foundations with JavaScript, HTML and CSS"
102,Responsive Web Design
102,Introduction to Web Development
102,Introduction to HTML5
102,Product Strategy
103,System Administration 
103,SRS Documents: Requirements and Diagrammatic Notation
103,Software Requirements Prioritization
103,Requirements Gathering for Secure Software Development
103,IT Infrastructure Services
103,MBA Essentials
103,SQL Server
103,Matrix Algebra for Engineers
104,Linear Regression for Business Statistics
105,database fundamentals
105,Database Management Essentials
105,MongoDB Aggregation Framework
105,Applications in Engineering Mechanics
105,Robotics 
105,MOS Transistors
106,Introduction to Power Electronics
106,Embedded Hardware and Operating Systems
106,Python Data Structures
107,Artificial Intelligence
107,Cryptography 
107,Algorithms
107,R Programming
107,Machine Learning
108,Introduction to Data Science in Python
108,Deep Learning in Python
108,Blockchain in Business
108,Python Data Structures
108,Artificial Intelligence
108,Cryptography 
108,Algorithms
108,R Programming
108,Machine Learning
108,Introduction to Data Science in Python
108,Deep Learning in Python
109,Blockchain in Business
109,Python Data Structures
109,Artificial Intelligence
110,Cryptography 
111,Algorithms
111,R Programming
111,Machine Learning
112,Introduction to Data Science in Python
112,Deep Learning in Python
112,Blockchain in Business
112,Python Data Structures
112,Artificial Intelligence
112,Cryptography 
112,Algorithms
112,R Programming
113,Machine Learning
113,Introduction to Data Science in Python
113,Deep Learning in Python
113,Blockchain in Business
113,Python Data Structures
113,Artificial Intelligence
113,Cryptography 
113,Algorithms
114,R Programming
114,Machine Learning
114,Introduction to Data Science in Python
114,Deep Learning in Python
114,Blockchain in Business
114,Python Data Structures
115,Artificial Intelligence
115,Cryptography 
116,Algorithms
117,R Programming
117,Machine Learning
118,Introduction to Data Science in Python
118,Deep Learning in Python
119,Blockchain in Business
119,Python Data Structures
119,Artificial Intelligence
119,Cryptography 
119,Algorithms
119,R Programming
119,Machine Learning
119,Introduction to Data Science in Python
119,Deep Learning in Python
119,Blockchain in Business
119,Python Data Structures
120,Artificial Intelligence
121,Cryptography 
121,Algorithms
121,R Programming
121,Machine Learning
121,Introduction to Data Science in Python
121,Deep Learning in Python
122,Blockchain in Business
122,Python Data Structures
122,Artificial Intelligence
122,Cryptography 
122,Algorithms
122,R Programming
122,Machine Learning
122,Introduction to Data Science in Python
123,Deep Learning in Python
123,Blockchain in Business
124,System Administration 
124,Python Data Structures
124,Artificial Intelligence
124,Machine Learning
124,Introduction to Data Science in Python
124,Deep Learning in Python
124,Programming with MATLAB
124,The Data Scientist�s Toolbox
125,C++ For C Programmers
125,Python and Statistics for Financial Analysis
125,Introduction to Mathematical Thinking
125,Getting and Cleaning Data
125,Ruby on Rails
125,Introduction to Big Data
125,Become a Digital Marketer
125,Mastering Data Analysis in Excel
125,Blockchain in Business
126,Network Security
126,"Cyberwar, Surveillance and Security"
126,Java Programming
126,Android App Development
126,Introduction to iOS App Development
126,"Tables, Data & Networking in iOS"
126,Introduction to Game Development
126,Java Programming: Solving Problems with Software
126,Mobile Applications for Android
126,Vector Calculus for Engineers
127,Regression Model
127,Differential Equations for Engineers
127,Statistical Inference
127,Python Data Structures
127,Artificial Intelligence
127,Machine Learning
128,Introduction to Data Science in Python
129,Deep Learning in Python
129,"Programming Foundations with JavaScript, HTML and CSS"
129,Responsive Web Design
129,Introduction to Web Development
130,Introduction to HTML5
130,Product Strategy
130,System Administration 
130,SRS Documents: Requirements and Diagrammatic Notation
130,Software Requirements Prioritization
130,Requirements Gathering for Secure Software Development
130,IT Infrastructure Services
130,MBA Essentials
130,SQL Server
130,Matrix Algebra for Engineers
130,Linear Regression for Business Statistics
131,database fundamentals
131,Database Management Essentials
132,MongoDB Aggregation Framework
132,Applications in Engineering Mechanics
132,Robotics 
132,MOS Transistors
132,Introduction to Power Electronics
132,Embedded Hardware and Operating Systems
133,Advanced Converter Control Techniques
133,Embedded Hardware and Operating Systems
133,Internet of Things
133,Network Security
133,"Cyberwar, Surveillance and Security"
134,Ethical Hacking
134,Access Controls
134,Security & Database Vulnerabilities
134,Cryptography 
134,Cloud Computing Concepts
134,Principles of Computing
134,Algorithms
134,R Programming
134,Programming with MATLAB
134,The Data Scientist�s Toolbox
135,C++ For C Programmers
135,Python and Statistics for Financial Analysis
135,Matrix Algebra for Engineers
136,Introduction to Mathematical Thinking
136,Getting and Cleaning Data
136,Ruby on Rails
136,Introduction to Big Data
136,Become a Digital Marketer
136,Mastering Data Analysis in Excel
137,Blockchain in Business
137,Algorithms
137,R Programming
137,Machine Learning
137,Introduction to Data Science in Python
137,Deep Learning in Python
137,Blockchain in Business
137,Introduction to Mathematical Thinking
137,Getting and Cleaning Data
138,Ruby on Rails
138,Introduction to Big Data
138,Become a Digital Marketer
138,Mastering Data Analysis in Excel
138,Blockchain in Business
138,Health Concepts 
138,Moralities of Everyday Life
138,MBA Essentials
138,Presentation skills: Effective Presentation Delivery
139,Introduction to Philosophy
139,Teaching and Assessing Clinical Skills
139,Health Concepts 
139,Grammar and Punctuation
139,Python Data Structures
139,Artificial Intelligence
139,Cryptography 
139,Algorithms
140,R Programming
140,Machine Learning
140,Introduction to Data Science in Python
140,Deep Learning in Python
140,Blockchain in Business
140,Python Data Structures
141,Artificial Intelligence
141,Cryptography 
141,Algorithms
141,R Programming
141,Machine Learning
141,Introduction to Data Science in Python
141,Deep Learning in Python
141,Blockchain in Business
141,NAN
141,NAN
142,R Programming
142,Programming with MATLAB
142,The Data Scientist�s Toolbox
142,C++ For C Programmers
143,Python and Statistics for Financial Analysis
143,Matrix Algebra for Engineers
143,Introduction to Mathematical Thinking
143,Getting and Cleaning Data
143,Ruby on Rails
143,Introduction to Big Data
143,Become a Digital Marketer
143,Mastering Data Analysis in Excel
143,Blockchain in Business
143,NAN
144,NAN
144,Java Programming
144,Android App Development
144,Introduction to iOS App Development
144,"Tables, Data & Networking in iOS"
144,Introduction to Game Development
144,Java Programming: Solving Problems with Software
144,Mobile Applications for Android
145,NAN
145,NAN
145,Vector Calculus for Engineers
145,Regression Model
145,Differential Equations for Engineers
145,Statistical Inference
145,NAN
145,"Programming Foundations with JavaScript, HTML and CSS"
145,Responsive Web Design
145,Introduction to Web Development
146,Introduction to HTML5
146,NAN
146,NAN
146,Product Strategy
146,System Administration 
146,SRS Documents: Requirements and Diagrammatic Notation
146,Software Requirements Prioritization
147,Requirements Gathering for Secure Software Development
147,IT Infrastructure Services
147,MBA Essentials
147,NAN
147,NAN
148,SQL Server
148,Matrix Algebra for Engineers
148,Linear Regression for Business Statistics
148,database fundamentals
149,Database Management Essentials
149,MongoDB Aggregation Framework
149,NAN
149,Applications in Engineering Mechanics
149,Robotics 
149,MOS Transistors
150,Introduction to Power Electronics
150,Embedded Hardware and Operating Systems
150,Advanced Converter Control Techniques
150,Embedded Hardware and Operating Systems
150,Internet of Things
150,NAN
150,Network Security
150,"Cyberwar, Surveillance and Security"
151,Ethical Hacking
151,Access Controls
151,Security & Database Vulnerabilities
151,Cryptography 
151,Cloud Computing Concepts
151,Principles of Computing
151,Algorithms
151,Programming with MATLAB
151,The Data Scientist�s Toolbox
151,C++ For C Programmers
152,Python and Statistics for Financial Analysis
152,Matrix Algebra for Engineers
153,Introduction to Mathematical Thinking
153,Getting and Cleaning Data
153,Ruby on Rails
153,Introduction to Big Data
153,Become a Digital Marketer
153,Mastering Data Analysis in Excel
153,Blockchain in Business
153,Java Programming
154,Android App Development
154,Introduction to iOS App Development
155,"Tables, Data & Networking in iOS"
155,Introduction to Game Development
155,Java Programming: Solving Problems with Software
155,Mobile Applications for Android
155,Vector Calculus for Engineers
155,Regression Model
155,Differential Equations for Engineers
156,Statistical Inference
156,"Programming Foundations with JavaScript, HTML and CSS"
156,Responsive Web Design
156,Introduction to Web Development
156,Introduction to HTML5
157,Product Strategy
157,System Administration 
157,SRS Documents: Requirements and Diagrammatic Notation
157,Software Requirements Prioritization
157,Requirements Gathering for Secure Software Development
157,IT Infrastructure Services
157,MBA Essentials
157,SQL Server
158,Matrix Algebra for Engineers
158,Linear Regression for Business Statistics
158,database fundamentals
158,Database Management Essentials
158,MongoDB Aggregation Framework
158,Applications in Engineering Mechanics
158,Robotics 
158,MOS Transistors
158,Introduction to Power Electronics
158,Embedded Hardware and Operating Systems
158,Advanced Converter Control Techniques
159,Embedded Hardware and Operating Systems
159,Internet of Things
159,Network Security
159,"Cyberwar, Surveillance and Security"
159,Ethical Hacking
159,Access Controls
160,Security & Database Vulnerabilities
160,Cryptography 
160,Cloud Computing Concepts
160,Principles of Computing
160,Algorithms
161,Getting and Cleaning Data
161,Ruby on Rails
161,Introduction to Big Data
161,Become a Digital Marketer
161,Mastering Data Analysis in Excel
161,Blockchain in Business
162,Java Programming
162,Android App Development
162,Introduction to iOS App Development
162,"Tables, Data & Networking in iOS"
162,Introduction to Game Development
162,Java Programming: Solving Problems with Software
162,Mobile Applications for Android
162,Python Data Structures
163,Artificial Intelligence
163,Cryptography 
164,Algorithms
164,R Programming
164,Machine Learning
164,Introduction to Data Science in Python
165,Deep Learning in Python
165,Blockchain in Business
165,Python Data Structures
165,Artificial Intelligence
165,Cryptography 
166,Algorithms
166,R Programming
166,Machine Learning
166,Introduction to Data Science in Python
166,Deep Learning in Python
166,Blockchain in Business
166,Python Data Structures
166,Artificial Intelligence
167,Cryptography 
167,Algorithms
167,R Programming
167,Machine Learning
167,Introduction to Data Science in Python
167,Deep Learning in Python
167,Blockchain in Business
167,Python Data Structures
168,Artificial Intelligence
168,Cryptography 
168,Algorithms
168,R Programming
168,Machine Learning
169,Introduction to Data Science in Python
169,Deep Learning in Python
170,Blockchain in Business
170,R Programming
170,Programming with MATLAB
170,The Data Scientist�s Toolbox
170,C++ For C Programmers
171,Python and Statistics for Financial Analysis
171,Matrix Algebra for Engineers
171,Introduction to Mathematical Thinking
171,Getting and Cleaning Data
171,Ruby on Rails
171,Introduction to Big Data
171,Become a Digital Marketer
171,Mastering Data Analysis in Excel
171,Blockchain in Business
171,Java Programming
171,Android App Development
172,Introduction to iOS App Development
172,"Tables, Data & Networking in iOS"
172,Introduction to Game Development
172,Java Programming: Solving Problems with Software
172,Mobile Applications for Android
172,Vector Calculus for Engineers
172,Regression Model
172,Differential Equations for Engineers
172,Statistical Inference
172,"Programming Foundations with JavaScript, HTML and CSS"
172,Responsive Web Design
173,Introduction to Web Development
173,Introduction to HTML5
173,Product Strategy
173,System Administration 
173,SRS Documents: Requirements and Diagrammatic Notation
173,Software Requirements Prioritization
173,Requirements Gathering for Secure Software Development
173,IT Infrastructure Services
174,MBA Essentials
174,SQL Server
174,Matrix Algebra for Engineers
174,Linear Regression for Business Statistics
174,database fundamentals
174,Database Management Essentials
174,MongoDB Aggregation Framework
174,Applications in Engineering Mechanics
174,Robotics 
174,MOS Transistors
175,Introduction to Power Electronics
175,Embedded Hardware and Operating Systems
175,Advanced Converter Control Techniques
176,Embedded Hardware and Operating Systems
176,Internet of Things
176,Network Security
176,"Cyberwar, Surveillance and Security"
176,Ethical Hacking
176,Access Controls
176,Security & Database Vulnerabilities
177,Cryptography 
177,Cloud Computing Concepts
177,Principles of Computing
177,Algorithms
177,Moralities of Everyday Life
177,MBA Essentials
177,Presentation skills: Effective Presentation Delivery
177,Introduction to Philosophy
177,Teaching and Assessing Clinical Skills
177,Health Concepts 
178,Grammar and Punctuation
178,Python Data Structures
178,Artificial Intelligence
178,Cryptography 
179,Algorithms
179,R Programming
179,Machine Learning
179,Introduction to Data Science in Python
179,Deep Learning in Python
179,Blockchain in Business
179,R Programming
179,Programming with MATLAB
180,The Data Scientist�s Toolbox
180,C++ For C Programmers
180,Python and Statistics for Financial Analysis
180,Matrix Algebra for Engineers
180,Introduction to Mathematical Thinking
181,Getting and Cleaning Data
181,Ruby on Rails
181,Introduction to Big Data
181,Become a Digital Marketer
182,Mastering Data Analysis in Excel
182,Blockchain in Business
182,Java Programming
182,Android App Development
182,Introduction to iOS App Development
182,"Tables, Data & Networking in iOS"
182,Introduction to Game Development
182,Java Programming: Solving Problems with Software
182,Mobile Applications for Android
182,Vector Calculus for Engineers
183,Regression Model
183,Differential Equations for Engineers
183,Statistical Inference
183,"Programming Foundations with JavaScript, HTML and CSS"
183,Responsive Web Design
183,Introduction to Web Development
183,Introduction to HTML5
183,Product Strategy
183,System Administration 
183,SRS Documents: Requirements and Diagrammatic Notation
184,Software Requirements Prioritization
184,Requirements Gathering for Secure Software Development
184,IT Infrastructure Services
184,MBA Essentials
184,SQL Server
184,Matrix Algebra for Engineers
184,Linear Regression for Business Statistics
184,database fundamentals
184,Database Management Essentials
185,MongoDB Aggregation Framework
185,Applications in Engineering Mechanics
185,Robotics 
185,MOS Transistors
186,Introduction to Power Electronics
186,Embedded Hardware and Operating Systems
186,Advanced Converter Control Techniques
186,Embedded Hardware and Operating Systems
187,Internet of Things
187,Network Security
187,"Cyberwar, Surveillance and Security"
187,Ethical Hacking
